nomecompleto,email,telefone
"Otávio Dias","otavio.dias@email.com",11699876567
"Rafael Alcantara","rafa@gmail.com",31995022354
"Heliana Mara","heliana@gmail.com" ,31999432354
"Carla Manu","carla@gmail.com",32316545621
"Manoel Paivas","manoel@gmail.com",32345650223
"Mikaela Guido ","manuelaguido@gmail.com" ,37896432354
"Orlando Rocha","orlandorocha@gmail.com" ,35689543212
"Natália Ramos","natalia.ramos@email.com",41912342345
"Júlia Barbosa","julia.barbosa@email.com",21912345432
"Kauã Rocha","kaua.rocha@email.com",21998767890
"Larissa Ferreira","larissa.ferreira@email.com",35912341234
